Track,Album Name,Artist,Release Date,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,YouTube Playlist Reach,Apple Music Playlist Count,SiriusXM Spins,Deezer Playlist Count,Amazon Playlist Count,Shazam Counts,Explicit Track
Addicted,Addicted feat Ink  Single,Zerb,2024-03-29,63142772.0,7213.0,65806267.0,97746040.0,23.0,53.0,18.0,44.0,512040.0,1
Besos Moja2,Besos Moja2,Wisin  Yandel,2022-09-29,416361102.0,48450.0,23910344.0,6946855.0,42.0,26.0,25.0,47.0,739386.0,0
Wake Up in the Sky,Wake Up in the Sky,Gucci Mane,2018-09-14,996942947.0,188378.0,27325666.0,52825959.0,40.0,56.0,31.0,17.0,6648622.0,1
El Chico Del Apartamento 512  Remasterizado 202430th Anniversary,Amor Prohibido Remasterizado 202430th Anniversary,Selena,2024-03-22,195435575.0,15.0,74994.0,97746040.0,1.0,86.0,1.0,1.0,854584.0,0
Papercut,Papercuts,Linkin Park,2024-12-04,497285757.0,130.0,484758.0,97746040.0,28.0,86.0,15.0,17.0,854584.0,0
Chanel,Chanel,Becky G,2023-03-30,287853890.0,21244.0,8675975.0,411799517.0,31.0,65.0,12.0,20.0,546765.0,0
Otro Trago,Sue,Sech,2019-04-18,693061510.0,73605.0,21529712.0,278722746.0,56.0,30.0,9.0,38.0,3179632.0,1
Back In Blood feat Lil Durk,Back In Blood feat Lil Durk,Pooh Shiesty,2020-06-11,378239461.0,126894.0,19992900.0,232331604.0,72.0,198.0,4.0,17.0,1280704.0,1
Jugaste y Sufr,Corta Venas,Eslabon Armado,2020-12-18,492509763.0,83013.0,10228918.0,3613322.0,17.0,86.0,2.0,13.0,2849462.0,0
Una Foto Remix feat Emilia,Una Foto Remix feat Emilia,Mesita,2024-05-01,206001461.0,15932.0,35397476.0,97746040.0,14.0,86.0,26.0,21.0,394118.0,0
Religiously,Religiously,Bailey Zimmerman,2023-03-17,225556005.0,25164.0,10017767.0,243552012.0,28.0,117.0,2.0,17.0,594487.0,0
What Happened To Virgil feat Gunna,7220,Lil Durk,2022-11-03,144889291.0,63045.0,7698742.0,65793712.0,31.0,726.0,3.0,13.0,1047166.0,1
